ID,ALTRB,ALTRB-CTCP,lb,kPlexS,lb
G11,0.25,1.42,67,0.28,65
G12,0.65,1.72,82,1.27,45
G13,2.67,22.66,54,2.67,52
G14,4.44,49.87,90,3.44,88
G15,1.66,15.30,65,3.76,64
G16,0.87,2.10,40,1.63,25
G17,0.65,2.25,53,1.83,48
G18,0.11,0.40,102,0.28,101
G19,0.34,3.15,53,1.27,44
G20,3.76,267.18,31,32.91,20
G21,0.67,2.73,57,0.53,54
G22,2.16,18.36,44,12.93,34
G23,12.44,189.51,21,13.35,20
G24,1.05,5.26,57,0.91,55
G25,2.49,30.17,92,27.89,91
G26,0.97,4.49,891,4.71,891
G27,2.24,19.01,46,17.18,40
G28,224.85,3620.00,27,3779.64,21
G29,2.34,4.15,316,3.20,316
G30,86.82,248.21,82,235.75,26
