ID,kPEX,kPEX-CTCP,lb,kPlexS,lb
G11,0.42,0.82,51,0.36,50
G12,0.38,1.51,73,1.57,34
G13,4.75,9.08,39,2.43,36
G14,8.97,15.99,70,3.12,64
G15,3.16,9.06,49,4.05,48
G16,1.43,1.99,27,1.75,14
G17,0.83,1.98,39,1.70,37
G18,0.18,0.47,87,0.35,87
G19,0.77,3.41,44,1.06,37
G20,3.74,253.01,21,36.39,10
G21,0.81,1.33,44,0.43,43
G22,2.31,14.92,34,16.27,26
G23,12.98,106.76,11,12.88,10
G24,1.39,2.38,44,0.96,41
G25,2.72,31.15,77,31.25,76
G26,2.69,4.16,881,3.56,881
G27,2.65,17.16,37,17.98,32
G28,95.63,3620.00,17,1338.78,12
G29,2.60,3.19,296,3.22,292
G30,99.02,264.53,65,255.55,17
