graph,kPEX (ours),KPLEX,kPlexS,DiseMKP,kPEX-RB
G1,4.07,44.29,17.40,395.53,5.09
G2,0.08,34.53,8.62,21.91,0.08
G3,3620,3620,3620,3620,3620
G4,3620,3620,3620,3620,3620
G5,3620,3620,3620,3620,3620
G6,3620,3620,3620,3620,3620
G7,3620,3620,3620,3620,3620
G8,3620,3620,3620,3620,3620
G9,3620,3620,3620,3620,3620
G10,3620,3620,3620,3620,3620
G11,92.09,3620,3620,3620,379.44
G12,0.47,1.08,1.14,3620,0.46
G13,3620,3620,3620,3620,3620
G14,3620,3620,3620,3620,3620
G15,702.22,3620,3620,3620,3620
G16,1.70,2.02,2.70,3620,1.81
G17,8.22,14.37,324.15,3620,19.00
G18,0.16,0.33,0.37,2567.28,0.16
G19,0.51,4.43,4.31,3620,0.39
G20,2077.66,194.44,139.07,3620,3620
G21,879.73,3620,3620,3620,3513.95
G22,1.80,8.63,7.47,3620,1.57
G23,13.37,132.50,11.63,3620,12.48
G24,2361.11,3620,3620,3620,3620
G25,6.89,168.11,3620,3620,9.73
G26,1.14,3.63,3.83,3.58,1.04
G27,1.72,11.92,10.54,3620,1.85
G28,3620,3620,3620,3620,3620
G29,2.43,4.08,3.67,34.12,2.36
G30,3620,3620,3620,3620,3620
