graph,ALTRB,KPLEX,kPlexS,DiseMKP,ALTRB/RR
G1,5.64,32.14,22.36,6.94,16.76
G2,3620,3620,3620,3620,3620
G3,59.79,1112.70,1443.94,21.68,521.19
G4,9.96,269.58,703.72,10.61,58.53
G5,0.11,0.46,15.63,0.08,0.13
G6,2.76,28.08,3620,47.61,21.02
G7,3620,3620,3620,3620,3620
G8,0.21,73.99,321.98,1.00,0.23
G9,21.11,528.72,3620,2129.04,146.18
G10,15.14,2622.38,3620,9.75,81.23
G11,6.59,3620,3620,3620,32.90
G12,0.53,1.46,1.51,15.47,0.40
G13,159.72,3620,3620,3620,959.08
G14,3620,3620,3620,3620,3620
G15,45.73,3620,3620,3620,198.42
G16,1.69,167.99,183.80,20.46,1.86
G17,2.36,987.10,925.34,238.50,3.45
G18,1.85,577.38,316.19,3620,4.07
G19,1.12,3.36,1.52,2878.55,0.95
G20,4.70,102.50,24.23,303.95,4.24
G21,9.11,3620,3620,1673.98,47.40
G22,3.00,15.34,12.78,21.09,2.86
G23,12.91,150.23,9.86,1787.41,13.07
G24,14.89,3620,3620,3620,78.47
G25,6.94,2877.27,1951.58,3620,13.04
G26,6.66,368.98,252.66,48.52,6.91
G27,2.90,17.59,18.30,26.67,2.79
G28,109.36,3620,1139.42,3620,107.98
G29,111.65,825.59,3620,3620,442.45
G30,181.90,3620,3620,3620,808.62
