ID,KPHeuris,KPHeuris-CTCP,lb,kPlexS,lb
G11,1.25,6.71,37,0.33,34
G12,0.51,1.78,63,1.49,21
G13,9.39,105.92,26,2.06,25
G14,24.91,222.58,54,3.01,51
G15,7.52,68.82,36,4.29,32
G16,1.44,3.10,19,1.91,9
G17,1.14,5.94,28,1.73,27
G18,0.32,1.48,70,0.38,69
G19,4.49,47.66,35,0.82,30
G20,3.80,22.12,15,8.70,10
G21,1.15,7.20,32,0.54,30
G22,3.33,17.38,31,19.24,17
G23,8.26,14.24,6,13.94,5
G24,1.86,14.52,32,1.10,30
G25,4.38,48.60,60,36.20,60
G26,2.79,4.50,872,3.37,872
G27,3.34,27.50,27,20.27,24
G28,94.87,1234.87,11,199.65,9
G29,2.52,4.01,273,3.07,271
G30,105.46,308.54,52,288.05,10
