graph,KPBB,KPLEX,kPlexS,DiseMKP,KPBB/StrongHeuris,KPBB/RefinedUB,KPBB/RR
G1,1.16,1.77,2.67,1.03,1.17,1.10,1.07
G2,1958.61,1847.75,3620,3620,1813.09,1904.51,1783.81
G3,52.48,105.06,182.37,20.77,47.09,66.49,46.77
G4,1.55,9.46,18.85,2.04,1.41,1.55,1.18
G5,75.67,27.08,3620,3620,69.49,102.09,93.07
G6,3620,3620,3620,3620,3620,3620,3620
G7,3620,3620,3620,3620,3620,3620,3620
G8,0.44,2.60,18.95,0.32,0.33,0.33,0.26
G9,39.57,86.99,639.75,484.14,35.80,38.90,34.70
G10,4.23,33.39,480.71,3.02,3.29,3.63,3.39
G11,20.81,127.32,1008.92,3620,21.27,20.87,18.22
G12,0.53,1.45,1.60,13.23,0.83,0.67,0.68
G13,283.67,2505.66,3620,2366.98,253.13,235.53,198.14
G14,3124.02,3620,3620,3620,3620,3177.72,2669.74
G15,139.14,1420.48,3620,3620,204.77,118.80,101.76
G16,2.27,7.69,31.11,7.82,3.12,2.00,1.94
G17,6.16,39.70,220.19,100.29,6.31,5.85,5.52
G18,2.22,8.16,61.52,3620,2.51,2.51,2.47
G19,8.59,11.07,9.59,3620,3620,8.91,9.11
G20,5.47,23.69,20.16,329.50,25.85,7.75,7.59
G21,13.24,118.76,945.47,328.26,16.05,12.14,10.60
G22,3.33,16.27,14.35,18.34,3.31,3.21,3.28
G23,8.26,10.12,10.12,937.23,8.13,7.82,7.91
G24,24.34,258.56,2355.51,537.42,28.75,21.77,19.42
G25,13.70,79.16,279.83,3620,12.22,13.16,12.81
G26,10.89,41.78,111.16,225.04,10.26,22.79,11.25
G27,3.40,19.32,16.87,25.85,3.36,3.31,3.28
G28,135.04,849.77,956.94,3620,1322.05,1111.04,1104.77
G29,5.74,7.71,553.32,3620,5.79,6.67,5.66
G30,143.29,514.32,1491.71,3620,209.95,150.76,139.93
