graph,KPBB,KPBB/RR,KPBB/StrongHeuris,KPBB/RefinedUB,KPLEX,kPlexS,DiseMKP
2th-DIMACS-brock200-2-2,1.2931,1.183,1.4069,1.5547,9.4601,18.8525,2.0361
2th-DIMACS-brock200-2-5,582.5672,3066.1133,585.4171,2320.8308,3620,3620,3620
2th-DIMACS-brock200-2-8,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-brock200-2-10,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-brock200-2-15,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-brock200-2-20,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-C125-9-2,1819.7845,1783.8056,1813.0875,1904.507,1847.7471,3620,3620
2th-DIMACS-C125-9-5,1614.4396,2081.457,1635.0483,3294.1498,3620,3620,3620
2th-DIMACS-C125-9-8,252.5136,406.8078,254.5555,560.4371,3620,3620,3620
2th-DIMACS-C125-9-10,39.7955,53.5775,40.5687,71.2243,3620,3620,3620
2th-DIMACS-C125-9-15,0.08,0.0841,0.0687,0.0781,34.5289,8.6214,21.9117
2th-DIMACS-C125-9-20,0.0019,0.0007,0.0007,0.0006,0.0011,0.0012,0.0001
2th-DIMACS-johnson8-4-4-2,1.1022,1.0712,1.1729,1.0992,1.7678,2.6678,1.0298
2th-DIMACS-johnson8-4-4-5,4.5123,8.0705,4.7828,19.1135,1154.7607,187.4076,53.0773
2th-DIMACS-johnson8-4-4-8,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-johnson8-4-4-10,480.2886,1100.6328,481.0983,1691.0304,3620,3100.7148,3620
2th-DIMACS-johnson8-4-4-15,3.672,4.9335,3.6835,6.4353,44.2865,17.4011,395.5313
2th-DIMACS-johnson8-4-4-20,0.0003,0.0004,0.0001,0.0001,0.0002,0.0003,0.0001
2th-DIMACS-keller4-2,47.0121,46.7688,47.0852,66.4924,105.0596,182.3656,20.7748
2th-DIMACS-keller4-5,1538.4705,2638.0618,1547.2297,3620,3620,3620,3620
2th-DIMACS-keller4-8,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-keller4-10,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-keller4-15,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-keller4-20,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-p-hat300-1-2,0.2814,0.2612,0.3284,0.3289,2.6001,18.9524,0.3248
2th-DIMACS-p-hat300-1-5,3.16,17.044,3.146,7.4793,567.8408,3620,27.0072
2th-DIMACS-p-hat300-1-8,1902.6429,3620,3397.723,3620,3620,3620,3620
2th-DIMACS-p-hat300-1-10,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-p-hat300-1-15,3620,3620,3620,3620,3620,3620,3620
2th-DIMACS-p-hat300-1-20,3620,3620,3620,3620,3620,3620,3620
